City,Month,Product_Type,Marketing_Channel,Customer_Income_Level,Marketing_Budget_INR,Discount_Rate,Conversion_Rate,Num_Sales,Sales_Revenue_INR,ROI,Customer_Age
Surat,2023-09,Clothing,Digital,High,1831650,0.07,0.105,205785,382760099,208.97,30
Surat,2023-02,Furniture,TV,High,1103317,0.16,0.047,60152,202110720,183.18,22
Hyderabad,2023-12,Furniture,TV,Medium,1816444,0.24,0.12,270286,821669440,452.35,22
Ahmedabad,2023-05,Clothing,Digital,Low,2662890,0.12,0.144,429470,755867200,283.85,65
Delhi,2023-12,Healthcare,Outdoor,High,633099,0.19,0.136,102460,290474100,458.81,30
Kanpur,2023-04,Electronics,Print,High,2578339,0.12,0.026,75081,330356400,128.13,30
Chennai,2023-07,Furniture,Radio,Low,1694455,0.15,0.062,120814,410767600,242.42,65
Delhi,2023-08,Furniture,TV,Low,563109,0.28,0.061,43967,126624960,224.87,65
Ahmedabad,2023-05,Healthcare,Radio,Medium,2114713,0.26,0.027,71942,186329780,88.11,53
Delhi,2023-10,Healthcare,Digital,High,762322,0.18,0.024,21588,61957560,81.27,53
Kolkata,2023-05,FMCG,Radio,Low,1097009,0.11,0.064,77931,104037885,94.84,65
Chennai,2023-02,Healthcare,Radio,Low,2329326,0.1,0.149,381776,1202594400,516.28,40
Ahmedabad,2023-08,Furniture,Print,Medium,1150050,0.29,0.09,133520,379196800,329.72,53
Hyderabad,2023-02,Clothing,Digital,High,1874816,0.1,0.097,200042,360075600,192.06,65
Kanpur,2023-10,Electronics,Radio,Low,2062002,0.25,0.076,195890,734587500,356.25,30
Pune,2023-12,FMCG,TV,Medium,732359,0.14,0.103,85993,110930970,151.47,53
Ahmedabad,2023-06,Clothing,Digital,High,2480715,0.3,0.144,464389,650144600,262.08,40
Mumbai,2023-08,Electronics,TV,High,1229438,0.14,0.092,128943,554454900,450.98,22
Kanpur,2023-06,Electronics,Outdoor,High,2389688,0.14,0.019,51760,222568000,93.14,30
Ahmedabad,2023-04,Electronics,Radio,High,2413140,0.21,0.079,230672,911154400,377.58,40
Kolkata,2023-04,Clothing,Digital,Medium,2620811,0.29,0.149,503746,715319320,272.94,40
Pune,2023-06,FMCG,TV,Low,1100240,0.29,0.064,90835,96739275,87.93,40
Kolkata,2023-04,FMCG,Radio,High,1340210,0.23,0.093,153306,177068430,132.12,30
Pune,2023-08,Electronics,Print,High,598113,0.24,0.025,18541,70455800,117.8,40
Mumbai,2023-09,Clothing,TV,Low,948929,0.19,0.03,33876,54879120,57.83,22
Kanpur,2023-01,Electronics,TV,High,1225704,0.24,0.132,200623,762367400,621.98,53
Hyderabad,2023-04,Healthcare,Outdoor,High,2392789,0.26,0.052,156775,406047250,169.7,30
Kolkata,2023-04,FMCG,Print,Low,1390624,0.17,0.053,86232,107358840,77.2,40
Kolkata,2023-02,Furniture,Outdoor,Low,2138806,0.2,0.064,164260,525632000,245.76,65
Surat,2023-06,Electronics,Print,High,2433308,0.18,0.145,416338,1706985800,701.51,53
Pune,2023-03,Healthcare,TV,Low,1739981,0.19,0.022,45552,129139920,74.22,30
Bangalore,2023-07,FMCG,Outdoor,Medium,2433539,0.27,0.125,386324,423024780,173.83,65
Kanpur,2023-11,Clothing,Radio,Medium,1414065,0.14,0.058,93497,160814840,113.73,65
Pune,2023-11,FMCG,Print,High,1506224,0.1,0.129,213733,288539550,191.56,40
Surat,2023-05,Clothing,TV,High,1476360,0.16,0.149,255174,428692320,290.37,30
Delhi,2023-04,Clothing,Digital,Low,2121345,0.1,0.059,137675,247815000,116.82,40
Pune,2023-05,Electronics,Print,Low,1754305,0.17,0.028,57471,238504650,135.95,22
Hyderabad,2023-08,Electronics,Print,High,587743,0.28,0.03,22569,81248400,138.24,65
Kanpur,2023-03,FMCG,Radio,High,779708,0.2,0.116,108535,130242000,167.04,22
Surat,2023-07,Healthcare,Print,Medium,2121467,0.26,0.03,80191,207694690,97.9,40
Delhi,2023-06,FMCG,Print,Low,2435411,0.09,0.046,122111,166681515,68.44,53
Chennai,2023-12,Furniture,Radio,High,2204449,0.28,0.039,110046,316932480,143.77,65
Surat,2023-01,Clothing,Radio,High,2331655,0.2,0.06,167879,268606400,115.2,53
Chennai,2023-07,Clothing,Outdoor,Low,773468,0.06,0.02,16397,30826360,39.85,30
Kanpur,2023-07,Electronics,TV,Low,2938525,0.21,0.13,462229,1825804550,621.33,65
Kolkata,2023-12,Healthcare,TV,High,2137043,0.29,0.13,358382,890579270,416.73,22
Surat,2023-01,Electronics,Outdoor,High,758590,0.07,0.068,55195,256656750,338.33,53
Mumbai,2023-09,Furniture,TV,High,1542841,0.2,0.096,177735,568752000,368.64,30
Chennai,2023-06,FMCG,Print,Low,2066874,0.28,0.1,264559,285723720,138.24,65
Hyderabad,2023-12,FMCG,Outdoor,High,2476952,0.05,0.115,299091,426204675,172.07,30
Mumbai,2023-02,Healthcare,Outdoor,High,2727199,0.21,0.083,273892,757311380,277.69,22
Ahmedabad,2023-05,Electronics,TV,High,1035646,0.17,0.081,98148,407314200,393.29,65
Ahmedabad,2023-11,Electronics,Digital,Medium,745258,0.14,0.098,83260,358018000,480.39,30
Delhi,2023-04,Furniture,TV,Medium,2099367,0.21,0.108,274345,866930200,412.95,40
Kolkata,2023-07,FMCG,Digital,Low,1497899,0.06,0.059,93678,132085980,88.18,65
Kanpur,2023-08,Electronics,Outdoor,High,1334337,0.24,0.056,92656,352092800,263.87,65
Surat,2023-11,Healthcare,Digital,High,653306,0.05,0.048,32926,109478950,167.58,65
Bangalore,2023-11,FMCG,Print,Low,2804839,0.13,0.087,275743,359844615,128.29,65
Hyderabad,2023-01,Furniture,Radio,Low,2497055,0.18,0.06,176791,579874480,232.22,40
Chennai,2023-05,Healthcare,Digital,Low,963095,0.14,0.086,94421,284207210,295.1,22
Kanpur,2023-03,Clothing,Radio,High,963380,0.13,0.067,72937,126910380,131.73,40
Mumbai,2023-01,Furniture,Print,Medium,2685256,0.26,0.127,429694,1271894240,473.66,40
Ahmedabad,2023-12,Healthcare,Radio,Low,1229877,0.28,0.02,31484,79339680,64.51,30
Hyderabad,2023-03,Electronics,Print,High,993467,0.27,0.09,113553,414468450,417.19,53
Bangalore,2023-06,Clothing,Radio,Low,810541,0.18,0.091,87035,142737400,176.1,53
Surat,2023-07,Furniture,Radio,High,1978216,0.27,0.064,160789,469503880,237.34,30
Delhi,2023-08,Electronics,TV,Low,1517258,0.28,0.069,134004,482414400,317.95,40
Bangalore,2023-11,Clothing,Digital,High,813419,0.15,0.122,114122,194007400,238.51,30
Hyderabad,2023-04,FMCG,Radio,Low,1171377,0.12,0.049,64285,84856200,72.44,65
Bangalore,2023-03,Electronics,Outdoor,Medium,2676524,0.07,0.132,378032,1757848800,656.77,30
Hyderabad,2023-05,Healthcare,TV,Low,1628298,0.17,0.135,257189,747134045,458.84,30
Hyderabad,2023-09,Furniture,Digital,Low,1857908,0.29,0.101,242066,687467440,370.02,65
Pune,2023-06,Clothing,TV,Medium,2463169,0.19,0.118,345878,560322360,227.48,53
Chennai,2023-09,Electronics,Digital,Low,1055404,0.22,0.096,123608,482071200,456.76,65
Ahmedabad,2023-06,FMCG,Print,Medium,1978508,0.08,0.084,179490,247696200,125.19,22
Pune,2023-02,Furniture,Radio,High,2918034,0.09,0.145,461195,1678749800,575.3,30
Surat,2023-05,Furniture,Outdoor,Medium,2731858,0.17,0.05,159813,530579160,194.22,30
Pune,2023-12,Electronics,TV,Medium,2122230,0.29,0.032,87605,310997750,146.54,53
Kolkata,2023-11,FMCG,TV,High,889078,0.14,0.05,50677,65373330,73.53,40
Kolkata,2023-09,Clothing,TV,Medium,1257370,0.27,0.096,153298,223815080,178.0,65
Ahmedabad,2023-08,Electronics,TV,Medium,845270,0.08,0.036,32864,151174400,178.85,40
Bangalore,2023-07,Clothing,Radio,High,1622713,0.2,0.137,266774,426838400,263.04,22
Chennai,2023-01,Furniture,Digital,Low,2109283,0.2,0.068,172117,550774400,261.12,65
Ahmedabad,2023-04,Clothing,Radio,Low,1298289,0.26,0.129,211023,312314040,240.56,22
Hyderabad,2023-12,FMCG,Print,Medium,2700205,0.05,0.045,127584,181807200,67.33,22
Mumbai,2023-07,Healthcare,Radio,Low,2772253,0.1,0.054,164671,518713650,187.11,22
Chennai,2023-11,FMCG,Radio,Low,979130,0.1,0.018,19386,26171100,26.73,65
Chennai,2023-07,Clothing,Print,Medium,2267150,0.29,0.046,134532,191035440,84.26,65
Hyderabad,2023-06,Electronics,Radio,High,746877,0.09,0.079,64313,292624150,391.8,53
Hyderabad,2023-08,Furniture,Digital,Low,1836378,0.06,0.142,276411,1039305360,565.95,30
Delhi,2023-11,Healthcare,Outdoor,Medium,2358275,0.18,0.064,178096,511135520,216.74,40
Ahmedabad,2023-06,Electronics,Print,High,2970294,0.18,0.1,350494,1437025400,483.8,40
Hyderabad,2023-10,Electronics,TV,Low,842033,0.26,0.07,74267,274787900,326.34,22
Kolkata,2023-03,FMCG,Digital,High,2270989,0.29,0.017,49802,53039130,23.36,65
Surat,2023-04,Clothing,Outdoor,Medium,685070,0.18,0.08,64670,106058800,154.81,65
Mumbai,2023-03,FMCG,Digital,High,2722665,0.28,0.019,66215,71512200,26.27,22
Ahmedabad,2023-01,Clothing,Digital,High,1148180,0.23,0.134,189243,291434220,253.82,30
Kanpur,2023-10,FMCG,TV,Medium,2912712,0.12,0.115,375157,495207240,170.02,40
Kolkata,2023-05,Electronics,Outdoor,Low,2745456,0.28,0.063,221393,797014800,290.3,53
Bangalore,2023-01,Furniture,Digital,Low,2230404,0.22,0.1,272109,848980080,380.64,30
Hyderabad,2023-01,Clothing,TV,High,697128,0.15,0.026,20844,35434800,50.83,65
Kanpur,2023-02,Healthcare,Print,High,749336,0.22,0.108,98732,269538360,359.7,22
Hyderabad,2023-04,Healthcare,TV,High,1400441,0.15,0.125,201313,598906175,427.66,40
Chennai,2023-06,Electronics,Radio,High,985679,0.08,0.125,133066,612103600,621.0,22
Kolkata,2023-08,FMCG,TV,Low,2915255,0.23,0.05,179288,207077640,71.03,65
Chennai,2023-03,FMCG,TV,Medium,1059190,0.26,0.047,62725,69624750,65.73,22
Delhi,2023-01,Electronics,TV,Medium,2634758,0.23,0.083,268982,1035580700,393.05,40
Chennai,2023-03,Healthcare,Digital,Medium,2683617,0.11,0.145,431928,1345455720,501.36,22
Delhi,2023-12,Healthcare,Outdoor,High,982929,0.29,0.139,176248,437976280,445.58,40
Delhi,2023-03,FMCG,TV,High,1418289,0.06,0.06,90203,127186230,89.68,22
Kanpur,2023-05,Clothing,TV,Medium,1884399,0.13,0.119,253395,440907300,233.98,22
Hyderabad,2023-11,Furniture,Radio,Low,880929,0.12,0.139,137143,482743360,547.99,40
Bangalore,2023-12,Clothing,Radio,Medium,2323821,0.06,0.047,115772,217651360,93.66,22
Chennai,2023-12,Healthcare,Print,Low,513635,0.15,0.126,74425,221414375,431.07,30
Kolkata,2023-04,Clothing,Print,High,2149382,0.21,0.048,124836,197240880,91.77,53
Delhi,2023-04,Furniture,Radio,Medium,1728404,0.27,0.058,127314,371756880,215.09,30
Hyderabad,2023-09,Clothing,Outdoor,Medium,2615693,0.3,0.038,129215,180901000,69.16,53
Mumbai,2023-07,Clothing,Print,High,569064,0.25,0.081,57617,86425500,151.87,30
Ahmedabad,2023-04,Clothing,Outdoor,Low,2764551,0.17,0.128,414019,687271540,248.6,53
Kanpur,2023-03,Clothing,Radio,Medium,2512968,0.23,0.084,259639,399844060,159.11,22
Bangalore,2023-06,Electronics,Print,Medium,1573522,0.26,0.027,53531,198064700,125.87,40
Pune,2023-03,Healthcare,TV,Low,2436249,0.17,0.045,128268,372618540,152.95,40
Kanpur,2023-06,Furniture,Radio,Medium,1442060,0.25,0.089,160429,481287000,333.75,65
Mumbai,2023-11,Healthcare,Print,Medium,865589,0.17,0.092,93171,270661755,312.69,53
Ahmedabad,2023-11,Electronics,Outdoor,High,1401841,0.15,0.091,146702,623483500,444.76,65
Mumbai,2023-12,Electronics,Outdoor,Low,2200144,0.18,0.021,54519,223527900,101.6,65
Chennai,2023-09,Electronics,Print,Medium,2974907,0.22,0.116,421008,1641931200,551.93,53
Delhi,2023-06,Electronics,Outdoor,Medium,1769225,0.23,0.137,298132,1147808200,648.76,40
Bangalore,2023-12,Clothing,Print,High,1418339,0.14,0.081,130969,225266680,158.82,53
Surat,2023-04,Healthcare,Print,Medium,928963,0.19,0.111,122706,347871510,374.47,22
Delhi,2023-05,FMCG,Outdoor,High,1198645,0.28,0.138,211728,228666240,190.77,65
Surat,2023-06,Furniture,Digital,Medium,1462388,0.29,0.1,188648,535760320,366.36,65
Ahmedabad,2023-11,Electronics,TV,High,1957896,0.11,0.104,226019,1005784550,513.71,53
Hyderabad,2023-03,Healthcare,Radio,Low,2612079,0.1,0.111,318934,1004642100,384.61,65
Pune,2023-08,Electronics,TV,Low,1684169,0.22,0.046,94515,368608500,218.87,40
Kolkata,2023-04,Electronics,Radio,Medium,2903382,0.15,0.092,307177,1305502250,449.65,65
Delhi,2023-08,Electronics,Radio,Medium,2660418,0.06,0.128,360965,1696535500,637.7,53
Bangalore,2023-10,Electronics,TV,High,2779752,0.14,0.051,161614,694940200,250.0,40
Mumbai,2023-10,Electronics,Print,High,2055276,0.25,0.136,349396,1310235000,637.5,40
Bangalore,2023-03,Furniture,Outdoor,Low,1991397,0.25,0.097,241456,724368000,363.75,65
Ahmedabad,2023-10,Healthcare,Digital,Medium,1707725,0.17,0.069,137864,400494920,234.52,53
Surat,2023-07,Electronics,Digital,High,2846459,0.17,0.097,323044,1340632600,470.98,65
Mumbai,2023-11,Electronics,Digital,Low,2450218,0.19,0.066,192440,779382000,318.09,22
Kolkata,2023-12,Electronics,TV,Low,1979137,0.1,0.127,276485,1244182500,628.65,22
Kolkata,2023-09,Electronics,TV,High,810584,0.18,0.078,74606,305884600,377.36,40
Delhi,2023-04,Clothing,Print,Medium,2305962,0.05,0.136,329291,625652900,271.32,65
Ahmedabad,2023-08,Clothing,Digital,Low,1365356,0.17,0.081,129394,214794040,157.32,22
Hyderabad,2023-03,FMCG,Print,High,2718563,0.13,0.102,313341,408910005,150.41,30
Ahmedabad,2023-07,Electronics,Digital,Low,2126829,0.22,0.15,389209,1517915100,713.7,22
Surat,2023-03,FMCG,TV,Medium,1043979,0.21,0.031,39159,46403415,44.45,65
Bangalore,2023-12,Furniture,Outdoor,High,2404186,0.15,0.113,312423,1062238200,441.83,65
Kolkata,2023-07,FMCG,Outdoor,Medium,950836,0.05,0.029,28952,41256600,43.39,22
Bangalore,2023-11,Healthcare,Outdoor,Medium,2930420,0.11,0.127,413101,1286809615,439.12,65
Bangalore,2023-10,Clothing,Outdoor,Low,1113595,0.21,0.094,126660,200122800,179.71,65
Bangalore,2023-10,Clothing,Radio,Medium,744636,0.07,0.141,112343,208957979,280.62,30
Kolkata,2023-11,Electronics,Digital,Low,1346677,0.08,0.131,190527,876424200,650.81,40
Kanpur,2023-11,Electronics,Outdoor,High,1394585,0.21,0.02,33748,133304600,95.59,65
Chennai,2023-06,Furniture,Radio,High,1787897,0.24,0.029,64292,195447680,109.32,53
Surat,2023-02,Furniture,Radio,Low,2642714,0.13,0.094,280709,976867320,369.65,40
Kanpur,2023-11,Healthcare,Radio,Low,659306,0.17,0.083,64025,185992625,282.1,40
Surat,2023-03,Electronics,Print,Low,1896042,0.29,0.034,83160,295218000,155.7,53
Mumbai,2023-06,Electronics,Print,Medium,733708,0.29,0.028,26501,94078550,128.22,22
Ahmedabad,2023-04,Furniture,Radio,High,908914,0.13,0.089,91409,318103320,349.98,30
Ahmedabad,2023-06,Furniture,Outdoor,High,2251545,0.25,0.017,47845,143535000,63.75,65
Pune,2023-01,Furniture,Digital,Medium,2505837,0.2,0.132,396924,1270156800,506.88,22
Ahmedabad,2023-10,Clothing,TV,Low,755644,0.29,0.123,119898,170255160,225.31,53
Kolkata,2023-12,FMCG,Print,High,1089522,0.17,0.12,152968,190445160,174.8,30
Hyderabad,2023-01,FMCG,Outdoor,Medium,1093684,0.24,0.012,16274,18552360,16.96,30
Delhi,2023-03,Electronics,Outdoor,Low,1707513,0.24,0.017,35994,136777200,80.1,30
Pune,2023-08,Clothing,TV,High,2828296,0.17,0.087,287892,477900720,168.97,53
Delhi,2023-08,Furniture,TV,Low,2563371,0.25,0.149,477427,1432281000,558.75,22
Surat,2023-11,Electronics,Outdoor,Medium,2799986,0.12,0.058,181887,800302800,285.82,65
Delhi,2023-04,Clothing,TV,High,1102542,0.08,0.058,69063,127075920,115.26,30
Delhi,2023-06,Healthcare,Outdoor,Low,1134480,0.16,0.029,38163,112199220,98.9,30
Pune,2023-08,Clothing,TV,Low,1675234,0.29,0.104,224749,319143580,190.51,22
Mumbai,2023-07,Electronics,TV,Low,2785196,0.18,0.101,331939,1360949900,488.64,30
Bangalore,2023-11,FMCG,Outdoor,Medium,1738984,0.21,0.024,50500,59842500,34.41,30
Ahmedabad,2023-07,Furniture,Radio,Low,1083291,0.21,0.075,98308,310653280,286.77,53
Ahmedabad,2023-04,Healthcare,Outdoor,High,1401839,0.08,0.103,155940,502126800,358.19,40
Kolkata,2023-09,Clothing,Digital,High,1589229,0.15,0.079,144381,245447700,154.44,22
Pune,2023-12,Electronics,TV,Low,892647,0.23,0.104,114187,439619950,492.49,22
Kolkata,2023-10,Electronics,Print,Medium,1273621,0.29,0.124,203728,723234400,567.86,22
Hyderabad,2023-06,Furniture,TV,High,1806002,0.09,0.106,208665,759540600,420.56,53
Hyderabad,2023-12,Electronics,Digital,High,1726680,0.15,0.096,190625,810156250,469.2,53
Kolkata,2023-11,Electronics,Print,High,1077823,0.07,0.13,149925,697151250,646.81,65
Pune,2023-03,Furniture,Print,Low,2316930,0.11,0.136,349763,1245156280,537.42,53
Kolkata,2023-05,Healthcare,Outdoor,High,1393270,0.14,0.064,101652,305972520,219.61,22
Ahmedabad,2023-05,FMCG,Radio,Low,2264463,0.19,0.034,91620,111318300,49.16,65
Kanpur,2023-05,FMCG,Outdoor,Low,756653,0.11,0.125,104985,140154975,185.23,40
Chennai,2023-08,Clothing,Print,Low,2482451,0.11,0.04,110220,196191600,79.03,30
Delhi,2023-09,Healthcare,Print,Low,2123839,0.24,0.14,368698,980736680,461.78,30
Chennai,2023-09,Clothing,Radio,Low,2814570,0.29,0.013,47200,67024000,23.81,65
Pune,2023-06,FMCG,TV,High,1315468,0.13,0.139,206620,269639100,204.98,40
Chennai,2023-06,Furniture,Radio,Low,1078044,0.22,0.092,120999,377516880,350.19,30
Hyderabad,2023-09,Electronics,Outdoor,Low,1117027,0.11,0.118,146308,651070600,582.86,65
Surat,2023-04,FMCG,TV,Low,771449,0.28,0.066,65172,70385760,91.24,53
Delhi,2023-06,Healthcare,Outdoor,Low,2925732,0.22,0.149,531839,1451920470,496.26,22
Bangalore,2023-04,FMCG,Radio,Low,765891,0.25,0.042,40209,45235125,59.06,40
Pune,2023-11,Healthcare,TV,Low,2773248,0.06,0.047,138163,454556270,163.91,30
Delhi,2023-01,Healthcare,Radio,High,1833965,0.2,0.017,37412,104753600,57.12,22
Chennai,2023-07,Healthcare,Digital,Low,958825,0.18,0.142,160660,461094200,480.9,65
Hyderabad,2023-10,Clothing,Print,Low,2712090,0.12,0.074,224778,395609280,145.87,30
Mumbai,2023-11,Furniture,TV,High,1747681,0.12,0.104,203569,716562880,410.01,22
Kanpur,2023-12,FMCG,Print,High,2028340,0.2,0.106,258004,309604800,152.64,53
Bangalore,2023-06,Furniture,Digital,Medium,2736711,0.23,0.132,444332,1368542560,500.07,40
Kanpur,2023-09,Electronics,TV,High,1245773,0.06,0.103,136013,639261100,513.14,65
Delhi,2023-07,FMCG,Print,High,1069855,0.19,0.089,113308,137669220,128.68,30
Hyderabad,2023-07,Furniture,Print,Low,1744497,0.09,0.109,207263,754437320,432.47,53
Hyderabad,2023-02,Furniture,TV,Medium,2800277,0.09,0.115,351014,1277690960,456.27,40
Chennai,2023-12,Electronics,Print,Low,1265480,0.21,0.036,55124,217739800,172.06,40
Ahmedabad,2023-11,Healthcare,Print,Medium,2446717,0.13,0.025,69119,210467355,86.02,53
Chennai,2023-09,FMCG,TV,Low,1808803,0.16,0.02,41964,52874640,29.23,30
Ahmedabad,2023-10,FMCG,Print,High,2323629,0.14,0.062,164234,211861860,91.18,40
Ahmedabad,2023-09,Electronics,Print,High,1524052,0.21,0.08,147528,582735600,382.36,65
Bangalore,2023-06,Healthcare,Outdoor,Medium,1160975,0.17,0.096,130400,378812000,326.29,22
Chennai,2023-03,FMCG,Outdoor,Low,2148868,0.29,0.144,399173,425119245,197.83,65
Mumbai,2023-01,FMCG,Digital,Low,2780220,0.14,0.056,177489,228960810,82.35,40
Kolkata,2023-04,FMCG,Outdoor,High,2258711,0.24,0.117,327693,373570020,165.39,22
Kolkata,2023-03,Healthcare,Outdoor,High,1028878,0.11,0.084,95932,298828180,290.44,53
Chennai,2023-12,Electronics,Digital,Medium,1711624,0.18,0.041,82808,339512800,198.36,22
Chennai,2023-01,FMCG,Print,High,2244588,0.19,0.096,256421,311551515,138.8,22
Kanpur,2023-03,Furniture,Print,Medium,981468,0.13,0.145,160813,559629240,570.2,22
Bangalore,2023-04,Healthcare,Outdoor,Medium,533430,0.17,0.027,16851,48952155,91.77,40
Chennai,2023-08,Clothing,Digital,Medium,1600815,0.12,0.081,145225,255596000,159.67,30
Kanpur,2023-09,Electronics,Print,Medium,1340345,0.05,0.017,23925,113643750,84.79,40
Ahmedabad,2023-03,Furniture,Radio,High,1385404,0.1,0.055,83816,301737600,217.8,30
Hyderabad,2023-06,FMCG,TV,Medium,2952572,0.23,0.097,352271,406873005,137.8,53
Hyderabad,2023-10,Clothing,TV,High,902693,0.24,0.128,143275,217778000,241.25,53
Ahmedabad,2023-11,Electronics,TV,Medium,2772429,0.12,0.112,347773,1530201200,551.94,53
Pune,2023-05,Healthcare,Outdoor,High,2538076,0.15,0.075,218909,651254275,256.59,53
Kanpur,2023-06,Clothing,TV,Medium,2810161,0.06,0.137,408091,767211080,273.01,53
Kanpur,2023-04,Clothing,TV,High,1911557,0.11,0.052,110335,196396300,102.74,65
Ahmedabad,2023-10,Furniture,Radio,Low,1964686,0.24,0.116,282600,859104000,437.27,40
Mumbai,2023-06,Electronics,Print,Medium,2437758,0.2,0.076,222323,889292000,364.8,30
Surat,2023-07,Furniture,Radio,Medium,2788143,0.1,0.136,417106,1501581600,538.56,53
Delhi,2023-09,Furniture,Outdoor,Low,2045650,0.11,0.122,277021,986194760,482.09,65
Ahmedabad,2023-10,FMCG,TV,Low,1264173,0.25,0.136,214909,241772625,191.25,65
Chennai,2023-07,Healthcare,Print,Medium,2337926,0.1,0.04,102868,324034200,138.6,65
Chennai,2023-06,Clothing,TV,High,1337795,0.13,0.104,157217,273557580,204.48,40
Bangalore,2023-01,Electronics,TV,Medium,2179679,0.22,0.113,300490,1171911000,537.65,53
Ahmedabad,2023-02,Healthcare,Outdoor,High,1471789,0.19,0.114,199662,566041770,384.59,65
Bangalore,2023-01,Healthcare,TV,Low,604726,0.17,0.081,57309,166482645,275.3,65
Ahmedabad,2023-09,Electronics,Digital,High,1356495,0.27,0.012,20672,75452800,55.62,53
Kanpur,2023-10,Healthcare,Print,Medium,2878395,0.1,0.047,148813,468760950,162.85,40
Delhi,2023-10,FMCG,Print,Low,1968073,0.24,0.055,134222,153013080,77.75,65
Kanpur,2023-09,Healthcare,Digital,Low,801577,0.09,0.129,112709,358978165,447.84,30
Surat,2023-07,FMCG,Outdoor,Medium,539875,0.2,0.128,82924,99508800,184.32,22
Hyderabad,2023-02,Clothing,TV,Medium,1160492,0.27,0.025,36845,53793700,46.35,22
Kolkata,2023-06,Clothing,TV,Low,1119220,0.16,0.143,185656,311902080,278.68,22
Ahmedabad,2023-11,Furniture,Print,High,2771463,0.23,0.036,122720,377977600,136.38,40
Surat,2023-04,FMCG,Outdoor,High,1085179,0.26,0.068,92978,103205580,95.1,65
Hyderabad,2023-01,Clothing,Outdoor,High,2966262,0.08,0.04,128142,235781280,79.49,22
Pune,2023-01,Healthcare,Outdoor,Medium,2952639,0.23,0.13,472126,1272379570,430.93,22
Delhi,2023-12,Electronics,TV,Low,2190159,0.28,0.115,322391,1160607600,529.92,53
Bangalore,2023-05,Electronics,Outdoor,High,1273380,0.19,0.059,89404,362086200,284.35,65
Bangalore,2023-12,FMCG,Digital,Low,1837916,0.1,0.105,212279,286576650,155.92,65
Kanpur,2023-02,Furniture,Radio,High,2809753,0.08,0.036,109243,402014240,143.08,53
Chennai,2023-04,Healthcare,Outdoor,Low,1340281,0.11,0.064,95213,296588495,221.29,65
Hyderabad,2023-01,FMCG,Radio,Medium,735010,0.08,0.063,50010,69013800,93.9,30
Pune,2023-04,Electronics,TV,Medium,741943,0.18,0.043,37646,154348600,208.03,40
Surat,2023-11,FMCG,Outdoor,Medium,670100,0.07,0.133,95361,133028595,198.52,53
Delhi,2023-06,Healthcare,Print,High,842625,0.11,0.105,98207,305914805,363.05,22
Hyderabad,2023-10,Clothing,TV,Medium,1500609,0.16,0.049,85294,143293920,95.49,65
Pune,2023-04,Healthcare,Digital,Medium,588915,0.17,0.044,30317,88070885,149.55,30
Kolkata,2023-01,Clothing,Digital,Medium,1411222,0.19,0.013,21831,35366220,25.06,30
Ahmedabad,2023-07,Clothing,Radio,Low,538877,0.23,0.059,39106,60223240,111.76,40
Bangalore,2023-02,Clothing,Radio,Low,2226761,0.06,0.084,198270,372747600,167.39,30
Surat,2023-09,FMCG,Print,Low,1048136,0.07,0.049,54953,76659435,73.14,65
Bangalore,2023-03,Electronics,Print,Low,1533809,0.07,0.108,177246,824193900,537.35,65
Surat,2023-08,FMCG,Digital,Low,906885,0.16,0.068,71535,90134100,99.39,30
Kanpur,2023-08,Electronics,Outdoor,Low,1820595,0.06,0.054,104210,489787000,269.03,65
Chennai,2023-03,Healthcare,Digital,Low,842533,0.24,0.141,147308,391839280,465.07,65
Surat,2023-04,Furniture,Digital,Medium,2697243,0.11,0.047,140715,500945400,185.72,22
Bangalore,2023-02,Healthcare,Print,Medium,2306888,0.28,0.066,194885,491110200,212.89,53
Kanpur,2023-04,FMCG,Radio,High,1712930,0.17,0.064,128264,159688680,93.23,65
Surat,2023-11,FMCG,Print,Medium,1782477,0.16,0.044,90977,114631020,64.31,65
Kolkata,2023-11,Electronics,Print,Low,1239896,0.25,0.04,61994,232477500,187.5,40
Chennai,2023-11,FMCG,Print,Low,2169202,0.23,0.052,138742,160247010,73.87,53
Surat,2023-09,Clothing,Digital,High,2673257,0.2,0.131,420236,672377600,251.52,53
Kanpur,2023-02,FMCG,Outdoor,Medium,1377234,0.28,0.117,206254,222754320,161.74,53
Hyderabad,2023-12,Electronics,Digital,Medium,2403748,0.16,0.105,292776,1229659200,511.56,30
Mumbai,2023-12,Electronics,TV,High,573301,0.25,0.074,53030,198862500,346.87,22
Pune,2023-03,Clothing,Print,Low,2542312,0.15,0.081,236816,402587200,158.35,22
Mumbai,2023-11,Electronics,Print,Low,942126,0.26,0.047,55792,206430400,219.11,40
Mumbai,2023-11,Furniture,TV,Low,2379907,0.11,0.02,52833,188085480,79.03,53
Delhi,2023-04,Healthcare,Print,Low,1858585,0.12,0.056,116570,359035600,193.18,53
Kolkata,2023-05,FMCG,Print,High,538182,0.22,0.079,51869,60686730,112.76,65
Hyderabad,2023-01,Furniture,Print,Medium,1063397,0.1,0.018,21055,75798000,71.28,30
Ahmedabad,2023-07,FMCG,TV,Low,2208110,0.11,0.022,53922,71985870,32.6,30
Surat,2023-10,Furniture,Digital,Medium,1089812,0.13,0.047,57879,201418920,184.82,40
Pune,2023-07,FMCG,Print,Medium,693180,0.22,0.061,51586,60355620,87.07,22
